"Name","Version","License","Source"
"cfg_aliases","0.2.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"cfg-if","1.0.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"chrono","0.4.45","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cmake","0.1.58","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"combine","4.6.7","MIT","registry+https://github.com/rust-lang/crates.io-index"
"comfy-table","7.1.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"const-oid","0.10.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"const-random","0.1.18","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"const-random-macro","0.1.16","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"core-foundation","0.10.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"core-foundation-sys","0.8.7","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cpufeatures","0.2.17","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cpufeatures","0.3.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crc32fast","1.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crossbeam-channel","0.5.15","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crossbeam-utils","0.8.21","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crossterm","0.28.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"crossterm_winapi","0.9.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"crunchy","0.2.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"crypto-common","0.1.7","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crypto-common","0.2.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"data-encoding","2.11.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"deranged","0.5.8","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"derive_arbitrary","1.4.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"digest","0.10.7","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"digest","0.11.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"dispatch2","0.3.1","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"displaydoc","0.2.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"duckdb","1.10504.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"dunce","1.0.5","CC0-1.0 OR MIT-0 OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"encoding_rs","0.8.35","(Apache-2.0 OR MIT) AND BSD-3-Clause","registry+https://github.com/rust-lang/crates.io-index"
"equivalent","1.0.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"errno","0.3.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"fallible-iterator","0.3.0","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"fallible-streaming-iterator","0.1.9","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"fastrand","2.4.1","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"fax","0.2.7","MIT","registry+https://github.com/rust-lang/crates.io-index"
"fdeflate","0.3.7","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"filedescriptor","0.8.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"filetime","0.2.29","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"find-msvc-tools","0.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"flate2","1.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"foldhash","0.1.5","Zlib","registry+https://github.com/rust-lang/crates.io-index"
"form_urlencoded","1.2.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"fs_extra","1.3.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"funty","2.0.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"futures-channel","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-core","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-io","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-macro","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-sink","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-task","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-util","0.3.32","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"gag","1.0.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"generic-array","0.14.7","MIT","registry+https://github.com/rust-lang/crates.io-index"
"getrandom","0.2.17","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"getrandom","0.3.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"getrandom","0.4.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"half","2.7.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hashbrown","0.12.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hashbrown","0.15.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hashbrown","0.17.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hashlink","0.10.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"heck","0.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hex","0.4.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"http","1.4.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"http-body","1.0.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"http-body-util","0.1.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"http-range-header","0.4.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"httparse","1.10.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"httpdate","1.0.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hybrid-array","0.4.13","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hyper","1.10.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"hyper-rustls","0.27.9","Apache-2.0 OR ISC OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"hyper-util","0.1.20","MIT","registry+https://github.com/rust-lang/crates.io-index"
"iana-time-zone","0.1.65","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"iana-time-zone-haiku","0.1.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_collections","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_locale_core","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_normalizer","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_normalizer_data","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_properties","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_properties_data","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"icu_provider","2.2.0","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"idna","1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"idna_adapter","1.2.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"image","0.25.10","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"image-webp","0.2.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"indexmap","2.14.0","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"ipnet","2.12.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"itoa","1.0.18","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni","0.21.1","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys","0.3.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys-macros","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jobserver","0.1.34","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"js-sys","0.3.103","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lazy_static","1.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-core","1.0.6","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-parse-float","1.0.6","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-parse-integer","1.0.6","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-util","1.0.7","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-write-float","1.0.6","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lexical-write-integer","1.0.6","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"libc","0.2.186","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"libduckdb-sys","1.10504.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"libloading","0.8.9","ISC","registry+https://github.com/rust-lang/crates.io-index"
"libloading","0.9.0","ISC","registry+https://github.com/rust-lang/crates.io-index"
"libm","0.2.16","MIT","registry+https://github.com/rust-lang/crates.io-index"
"linux-raw-sys","0.12.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"linux-raw-sys","0.4.15","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"litemap","0.8.2","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"lock_api","0.4.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"log","0.4.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lru-slab","0.1.2","MIT OR Apache-2.0 OR Zlib","registry+https://github.com/rust-lang/crates.io-index"
"matchers","0.2.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"matchit","0.8.4","MIT AND BSD-3-Clause","registry+https://github.com/rust-lang/crates.io-index"
"memchr","2.8.2","Unlicense OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"mime","0.3.17","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"mime_guess","2.0.5","MIT","registry+https://github.com/rust-lang/crates.io-index"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"mio","1.2.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"moxcms","0.8.1","BSD-3-Clause OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"multer","3.1.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"nu-ansi-term","0.50.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"num-bigint","0.4.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-complex","0.4.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-conv","0.2.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-integer","0.1.46","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-traits","0.2.19","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"objc2","0.6.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-app-kit","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-core-foundation","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-encode","4.1.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-foundation","0.3.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"once_cell","1.21.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"openssl-probe","0.2.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"parking_lot","0.12.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"parking_lot_core","0.9.12","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"paste","1.0.15","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"pdfium","0.10.4","GPL-3.0","registry+https://github.com/rust-lang/crates.io-index"
"percent-encoding","2.3.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"pkg-config","0.3.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"png","0.18.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"pollster","0.4.0","Apache-2.0/MIT","registry+https://github.com/rust-lang/crates.io-index"
"potential_utf","0.1.5","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"powerfmt","0.2.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ppv-lite86","0.2.21","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"proc-macro-crate","3.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"proc-macro2","1.0.106","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ptr_meta","0.1.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"ptr_meta_derive","0.1.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"pxfm","0.1.29","BSD-3-Clause OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quick-error","2.0.1","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quinn","0.11.11","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quinn-proto","0.11.15","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quinn-udp","0.5.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quote","1.0.46","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"r-efi","5.3.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later","registry+https://github.com/rust-lang/crates.io-index"
"r-efi","6.0.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later","registry+https://github.com/rust-lang/crates.io-index"
"radium","0.7.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"rand","0.8.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rand","0.9.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rand_chacha","0.3.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rand_chacha","0.9.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rand_core","0.6.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rand_core","0.9.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"raw-window-handle","0.6.2","MIT OR Apache-2.0 OR Zlib","registry+https://github.com/rust-lang/crates.io-index"
"redox_syscall","0.5.18","MIT","registry+https://github.com/rust-lang/crates.io-index"
"regex","1.12.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"regex-automata","0.4.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"regex-syntax","0.8.11","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rend","0.4.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"reqwest","0.12.28","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"reqwest","0.13.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rfd","0.17.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"ring","0.17.14","Apache-2.0 AND ISC","registry+https://github.com/rust-lang/crates.io-index"
"rkyv","0.7.46","MIT","registry+https://github.com/rust-lang/crates.io-index"
"rkyv_derive","0.7.46","MIT","registry+https://github.com/rust-lang/crates.io-index"
"rust_decimal","1.42.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustc-hash","2.1.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustix","0.38.44","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustix","1.1.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustls","0.23.41","Apache-2.0 OR ISC OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustls-native-certs","0.8.4","Apache-2.0 OR ISC OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustls-pki-types","1.15.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rustls-platform-verifier","0.6.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rustls-platform-verifier-android","0.1.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rustls-webpki","0.103.13","ISC","registry+https://github.com/rust-lang/crates.io-index"
"rustversion","1.0.22","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ryu","1.0.23","Apache-2.0 OR BSL-1.0","registry+https://github.com/rust-lang/crates.io-index"
"same-file","1.0.6","Unlicense/MIT","registry+https://github.com/rust-lang/crates.io-index"
"schannel","0.1.29","MIT","registry+https://github.com/rust-lang/crates.io-index"
"scopeguard","1.2.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"seahash","4.1.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"security-framework","3.7.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"security-framework-sys","2.17.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde","1.0.228","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_core","1.0.228","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_derive","1.0.228","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_json","1.0.150","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_path_to_error","0.1.20","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_urlencoded","0.7.1","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"sha1","0.10.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"sha2","0.11.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"sharded-slab","0.1.7","MIT","registry+https://github.com/rust-lang/crates.io-index"
"shlex","2.0.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"signal-hook-registry","1.4.8","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"simd-adler32","0.3.9","MIT","registry+https://github.com/rust-lang/crates.io-index"
"simdutf8","0.1.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"slab","0.4.12","MIT","registry+https://github.com/rust-lang/crates.io-index"
"smallvec","1.15.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"socket2","0.6.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"spin","0.9.8","MIT","registry+https://github.com/rust-lang/crates.io-index"
"stable_deref_trait","1.2.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"strum","0.27.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"strum_macros","0.27.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"subtle","2.6.1","BSD-3-Clause","registry+https://github.com/rust-lang/crates.io-index"
"symlink","0.1.0","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"syn","1.0.109","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"syn","2.0.118","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"sync_wrapper","1.0.2","Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"synstructure","0.13.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tap","1.0.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tar","0.4.46","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tempfile","3.27.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror","1.0.69","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror","2.0.18","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror-impl","1.0.69","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror-impl","2.0.18","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thread_local","1.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tiff","0.11.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"time","0.3.53","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"time-core","0.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"time-macros","0.2.31","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tiny-keccak","2.0.2","CC0-1.0","registry+https://github.com/rust-lang/crates.io-index"
"tinystr","0.8.3","Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"tinyvec","1.11.0","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"tinyvec_macros","0.1.1","MIT OR Apache-2.0 OR Zlib","registry+https://github.com/rust-lang/crates.io-index"
"tokio","1.52.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tokio-macros","2.7.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tokio-rustls","0.26.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tokio-stream","0.1.18","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tokio-tungstenite","0.29.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"tokio-util","0.7.18","MIT","registry+https://github.com/rust-lang/crates.io-index"
"toml_datetime","1.1.1+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"toml_edit","0.25.12+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"toml_parser","1.1.2+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tower","0.5.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
